###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59493.549247 -21.872  3.269    -6   21 o  0   0.87 128.39658  19.74171  5350.89  2975.84 3.22 3.19 -76.0 -0.417 18.82 20.12 01a59493o0736o
59493.552496 -19.622  0.397   -51   20 o  0   0.88 128.39658  19.74171  5331.95  2936.76 3.09 2.90 -51.6 -0.441 18.90 20.19 01a59493o0743o
59493.558844  22.495  5.353     4   20 o  0   0.77 128.39658  19.74171  5390.51  3014.20 3.03 2.86  54.2 -0.444 18.95 20.25 01a59493o0756o
59493.576078 -21.035  1.323   -14   18 o  0   1.02 128.39658  19.74171  5413.13  2898.22 3.12 2.98 -52.2 -0.450 18.98 20.39 01a59493o0791o
59501.596728  17.730  0.061   294   18 o  0   0.99 128.39658  19.74171  7302.92  2886.84 2.65 2.61 -57.5 -0.488 19.15 20.27 01a59501o0844o
59501.599503  17.767  0.066   284   19 o  0   0.97 128.39658  19.74171  7284.13  2846.62 2.84 2.71  36.3 -0.456 19.09 20.26 01a59501o0850o
59501.605955  17.712  0.059   299   18 o  0   1.37 128.39658  19.74171  7345.47  2924.29 2.70 2.68  69.3 -0.479 19.07 20.18 01a59501o0864o
59501.623505  17.756  0.054   287   16 o  0   1.63 128.39658  19.74171  7365.25  2802.24 2.69 2.66 -61.6 -0.483 19.12 20.28 01a59501o0902o
59507.615831  17.739  0.070   291   20 o  0   1.38 128.39658  19.74171  1008.73  3090.03 1.95 1.86  36.5 -0.475 18.83 19.20 02a59507o0914o
59507.630958  17.826  0.071   269   19 o  0   1.44 128.39658  19.74171  1026.98  3130.27 1.91 1.84  25.5 -0.460 18.88 19.24 02a59507o0945o
59507.639668  17.791  0.073   278   20 o  0   0.84 128.39658  19.74171   971.28  3050.54 1.91 1.88  27.3 -0.457 18.84 19.16 02a59507o0962o
59507.643275  17.754  0.075   287   21 o  0   1.19 128.39658  19.74171   951.06  3165.79 1.91 1.88  23.5 -0.455 18.67 18.93 02a59507o0969o
59509.557650  17.969  0.123   236   29 o  0   0.93 128.39658  19.74171  9191.60   827.45 2.88 2.68 -52.2 -0.515 18.61 19.33 01a59509o0792o
59509.560919  17.937  0.108   243   26 o  0   1.23 128.39658  19.74171  9173.09   791.82 2.94 2.74 -54.5 -0.506 18.60 19.34 01a59509o0799o
59509.566911  17.907  0.118   250   29 o  0   0.88 128.39658  19.74171  9233.62   865.52 2.97 2.78 -54.8 -0.509 18.56 19.32 01a59509o0812o
59509.577069  17.928  0.105   245   26 o  0   1.03 128.39658  19.74171  9254.61   745.96 2.84 2.64 -53.8 -0.517 18.66 19.44 01a59509o0834o
59511.555148  18.653  2.965   126  372 o  0   0.97 128.39658  19.74171  1002.88  3095.50 2.27 2.14  17.7 -0.424 15.52 15.55 02a59511o0784o
59511.558358  16.886  0.760   639  486 o  0   1.18 128.39658  19.74171  1021.87  3134.32 2.13 1.95  27.5 -0.450 15.19 15.01 02a59511o0791o
59511.563908  18.019  0.657   225  148 o  0   1.40 128.39658  19.74171   962.37  3055.01 2.13 1.98  28.7 -0.477 16.72 16.57 02a59511o0803o
59511.574816  19.463  1.553    60   92 o  0   1.11 128.39658  19.74171   939.39  3171.19 2.08 1.92  35.2 -0.461 17.40 17.38 02a59511o0825o
59513.616888  17.879  0.085   256   22 o  0   0.97 128.39658  19.74171  5333.99  5213.82 2.71 2.64  49.4 -0.462 18.81 19.61 01a59513o0925o
59513.621058  17.984  0.087   232   20 o  0   1.42 128.39658  19.74171  5314.87  5174.85 2.74 2.69  40.7 -0.459 18.87 19.62 01a59513o0934o
59513.626836  18.023  0.106   224   24 o  0   0.86 128.39658  19.74171  5372.56  5249.10 2.84 2.77  36.6 -0.454 18.71 19.66 01a59513o0946o
59513.637084  17.808  0.072   273   20 o  0   1.25 128.39658  19.74171  5391.26  5130.16 2.77 2.75  53.6 -0.456 18.79 19.59 01a59513o0968o
59513.646605  17.840  0.153   265   41 o  0   1.01 128.39658  19.74171  5353.88  5185.86 2.85 2.67  46.2 -0.447 18.12 18.51 01a59513o0987o
59517.621588  17.939  0.066   242   16 o  0   0.97 128.39658  19.74171  5330.15  5205.89 2.85 2.82 -70.2 -0.453 19.17 20.50 01a59517o0928o
59517.625536  17.991  0.070   231   16 o  0   0.79 128.39658  19.74171  5310.68  5167.41 2.83 2.80  38.4 -0.450 19.17 20.56 01a59517o0936o
59517.630208  17.939  0.063   242   15 o  0   1.38 128.39658  19.74171  5369.99  5242.51 2.72 2.69  62.9 -0.462 19.25 20.47 01a59517o0946o
59517.638495  17.943  0.064   241   15 o  0   1.17 128.39658  19.74171  5389.12  5124.88 2.85 2.79  54.7 -0.452 19.10 20.30 01a59517o0961o
59519.585676  18.003  0.057   228   13 o  0   1.38 128.39658  19.74171  7146.11  7496.39 2.48 2.07  41.3 -0.427 19.50 20.77 02a59519o0846o
59519.588875  18.012  0.056   227   13 o  0   1.52 128.39658  19.74171  7165.26  7536.59 2.38 1.99  42.1 -0.437 19.57 20.76 02a59519o0853o
59519.598788  17.971  0.048   235   11 o  0   1.10 128.39658  19.74171  7107.19  7458.79 2.43 2.00  43.0 -0.436 19.54 20.73 02a59519o0873o
59519.612005  17.926  0.039   245   10 o  0   2.58 128.39658  19.74171  7086.25  7578.75 2.42 2.03  38.5 -0.429 19.53 20.69 02a59519o0898o
59521.594247  17.985  0.058   232   13 o  0   1.49 128.39658  19.74171  3597.73  9217.12 2.77 2.67 -67.2 -0.466 19.31 20.70 01a59521o0871o
59521.597473  18.079  0.078   213   17 o  0   0.82 128.39658  19.74171  3578.57  9177.91 2.79 2.70 -67.3 -0.462 19.32 20.70 01a59521o0878o
59521.600246  17.956  0.069   238   16 o  0   0.94 128.39658  19.74171  3636.28  9253.76 2.84 2.77 -68.1 -0.462 19.21 20.86 01a59521o0884o
59521.610814  17.949  0.059   240   14 o  0   1.35 128.39658  19.74171  3653.67  9133.93 2.73 2.66 -70.8 -0.469 19.26 20.89 01a59521o0906o
59523.601900  18.181  0.065   194   12 c  0   1.15 128.39658  19.74171  5126.58  1491.50 3.52 2.79  72.7 -0.344 19.29 21.28 02a59523o0895c
59523.605110  18.235  0.068   185   13 c  0   1.05 128.39658  19.74171  5145.30  1531.78 3.31 2.67  71.0 -0.354 19.25 21.47 02a59523o0902c
59523.610529  18.246  0.055   183   10 c  0   1.35 128.39658  19.74171  5094.99  1452.39 2.51 2.42 -83.6 -0.399 19.57 21.28 02a59523o0913c
59523.622298  18.212  0.065   188   12 c  0   1.09 128.39658  19.74171  5071.73  1571.25 2.73 2.65 -72.4 -0.382 19.47 21.28 02a59523o0935c
59525.538287  18.066  0.081   216   17 o  0   0.97 128.39658  19.74171  3568.47  9191.64 2.82 2.76 -74.4 -0.457 19.14 20.38 01a59525o0747o
59525.544312  18.040  0.079   221   18 o  0   1.04 128.39658  19.74171  3628.67  9266.45 2.78 2.70 -54.2 -0.469 19.15 20.41 01a59525o0760o
59525.558699  18.260  0.077   180   14 o  0   1.70 128.39658  19.74171  3652.17  9145.54 2.78 2.68 -60.4 -0.469 19.17 20.41 01a59525o0790o
59527.547150  18.267  0.073   179   13 c  0   1.15 128.39658  19.74171  5125.36  1492.87 2.38 2.31  86.4 -0.405 19.46 20.98 02a59527o0759c
59527.555967  18.155  0.057   199   11 c  0   1.21 128.39658  19.74171  5142.47  1533.32 2.40 2.32  65.8 -0.402 19.49 21.05 02a59527o0777c
59527.562397  18.359  0.115   165   19 c  0   0.92 128.39658  19.74171  5086.82  1455.47 2.38 2.31  81.2 -0.403 19.01 20.51 02a59527o0791c
59527.568363  18.561  0.142   137   19 c  0   1.47 128.39658  19.74171  5067.64  1572.98 2.40 2.29  71.1 -0.400 18.71 20.18 02a59527o0804c
59529.522490  18.224  0.082   186   15 o  0   1.18 128.39658  19.74171  3487.10  7285.83 2.89 2.72 -46.7 -0.466 19.26 20.79 01a59529o0702o
59529.554110  18.271  0.071   178   13 o  0   1.54 128.39658  19.74171  3471.36  7238.33 2.87 2.74 -51.7 -0.460 19.31 20.80 01a59529o0767o
59529.557335  18.024  0.057   224   13 o  0   1.36 128.39658  19.74171  3531.94  7316.27 2.82 2.73 -49.2 -0.458 19.28 20.81 01a59529o0774o
59529.562868  18.070  0.065   215   14 o  0   1.40 128.39658  19.74171  3551.18  7199.64 2.85 2.76 -47.1 -0.461 19.30 20.78 01a59529o0786o
59533.547337  18.213  0.230   188   43 o  0   1.31 128.39658  19.74171  3497.14  7282.26 3.04 2.96 -40.1 -0.422 18.07 19.06 01a59533o0120o
59533.566877 -16.347  3.561 -1050 3738 o  0   0.87 128.39658  19.74171  3477.92  7236.83 2.90 2.64 -30.1 -0.472 13.33 14.78 01a59533o0161o
59535.504987  14.630  0.639  5105 3261 o  0   1.11 128.39658  19.74171  1286.71  7800.49 2.20 1.82  35.4 -0.430 13.28 13.06 02a59535o0696o
59535.510492  16.315  0.792  1081  857 o  0   0.90 128.39658  19.74171  1227.45  7721.73 2.08 2.02  -6.2 -0.443 14.69 14.51 02a59535o0708o
59535.518773 -15.988  1.373 -1462 2006 o  0   1.73 128.39658  19.74171  1205.91  7838.49 2.03 1.93 -13.1 -0.450 14.03 13.65 02a59535o0726o
59539.540962  18.003  0.096   228   22 o  0   1.08 128.39658  19.74171  8975.98  1280.72 1.92 1.65 -53.0 -0.503 18.80 19.15 02a59539o0789o
59539.550877  18.215  0.124   188   23 o  0   1.13 128.39658  19.74171  8997.35  1318.33 2.07 1.67 -54.3 -0.485 18.68 18.99 02a59539o0809o
59539.554086  18.963  0.657    94   62 o  0   1.18 128.39658  19.74171  8940.41  1241.04 2.15 1.69 -54.3 -0.495 17.82 18.02 02a59539o0816o
